leaf_categ_id,LEAF_CATEG_NAME
30,Toys & Hobbies:Vintage & Antique Toys:Other Vintage & Antique Toys
31,Dolls & Bears:Bears:Antique
32,Dolls & Bears:Dolls:Antique (Pre-1930):Other Antique Dolls
117,Dolls & Bears:Bears:Other Plush Bears
131,Toys & Hobbies:Model Railroads & Trains:Magazines
162,Computers/Tablets & Networking:Other Computers & Networking
163,Computers & Networking:Technology Books & Resources:Other
164,Computers/Tablets & Networking:Computer Components & Parts:CPUs/Processors
167,"Computers/Tablets & Networking:Drives, Storage & Blank Media:Other Drives, Storage & Media"
168,Computers & Networking:Drives & Storage:Hard Drives:Internal (Desktop):10 GB & Under
169,"Computers/Tablets & Networking:Drives, Storage & Blank Media:Floppy, Zip & Jaz Drives"
170,"Computers/Tablets & Networking:Keyboards, Mice & Pointers:Other Keyboards & Mice"
172,Computers & Networking:Computer Components:Memory:PC Desktop Memory:Other
174,Computers & Networking:Monitors & Projectors:Other
176,Computers & Networking:Networking & Communications:Router Components & Memory:Other
177,Computers/Tablets & Networking:Laptops & Netbooks:PC Laptops & Netbooks
178,Computers & Networking:Printers
179,Computers/Tablets & Networking:Desktops & All-In-Ones:PC Desktops & All-In-Ones
182,Computers/Tablets & Networking:Software:Other Computer Software
183,Computers & Networking:Technology Books & Resources:Software Applications:Reference
185,Computers/Tablets & Networking:Software:Web & Desktop Publishing
186,Computers & Networking:Software:Education & Reference:Other
187,Video Games & Consoles:Other Video Games & Consoles
188,Computers & Networking:Software:Graphics & Multimedia:Other
189,Computers & Networking:Software:Apple Software:Other
191,Computers & Networking:Software:System Utilities & Maintenance:Utility Suites
218,Toys & Hobbies:Collectible Card Games:Magic: The Gathering:Other MTG Items
223,"Toys & Hobbies:Diecast & Toy Vehicles:Cars, Trucks & Vans:Diecast-Modern Manufacture"
228,Dolls & Bears:Bears:Care Bears:Vintage (Pre-1990)
229,"Toys & Hobbies:Electronic, Battery & Wind-Up:Friction:Pre-1970"
230,Toys & Hobbies:Stuffed Animals:Other Stuffed Animals
232,"Toys & Hobbies:Electronic, Battery & Wind-Up:Electronic & Interactive:Other Interactive Toys"
234,Toys & Hobbies:Games:Other Games
235,Toys & Hobbies:Games:Board & Traditional Games:Other
236,Toys & Hobbies:Marbles:1970-Now:Hand Made
239,Dolls & Bears:Dolls:By Type:Other Dolls by Type
241,"Dolls & Bears:Dolls:By Brand, Company, Character:Raggedy Ann & Andy:Vintage (Pre-1970)"
242,"Dolls & Bears:Dolls:By Brand, Company, Character:Strawberry Shortcake:Contemporary"
243,"Dolls & Bears:Dolls:By Brand, Company, Character:Cabbage Patch:Modern (1990-Now)"
245,Dolls & Bears:Dolls:By Type:Figures
248,Dolls & Bears:Dolls:Barbie Contemporary (1973-Now):Other Contemporary Barbie
249,Dolls & Bears:Dolls:Barbie Contemporary (1973-Now):Clothing & Accessories:Other Contemp. Barbie Accs
250,Dolls & Bears:Dolls:Barbie Vintage (Pre-1973):Vintage (Pre-1967)
